hgnc_symbol	logFC	PValue
CCL4L2	-3.976903138273901	1.7678489450038144e-6
IL5RA	-4.8300814849773825	8.695233195981397e-6
FN1	4.942690322256192	1.1747210071025733e-5
GSTM1	-8.211472350726256	1.5291282817829783e-5
CD180	2.1538778361010724	2.0225518986009343e-5
FAM20C	3.1128713697925323	2.5469512424625484e-5
CES1	6.684083707784125	2.6730362860569828e-5
AGAP1	-3.281026556448953	2.760633099308047e-5
CLC	-6.020348848846352	3.551283763660863e-5
ACCS	2.1536416400897	5.5343634676475e-5
IGKV2-30	3.726252610396771	5.557940898304354e-5
CLEC12A	2.8677192388991433	6.115621120520169e-5
CCR3	-4.680567465579077	6.758094066880194e-5
MYBL2	3.301529330976366	7.12568087251861e-5
PTGFR	8.60084423594452	7.157314310740069e-5
TPX2	2.9647997345718884	7.458258979233575e-5
FLVCR2	3.033307061999047	7.460878669085797e-5
IGKV3-20	3.8752742552395065	7.850052737915816e-5
ME1	3.0707750231792708	8.172141104301142e-5
MYOF	2.5630609302177154	8.301670957673196e-5
ADAMTS2	9.919320379670843	8.44584296831392e-5
C1QA	3.4081053695069117	8.499203923718477e-5
SIGLEC11	3.603997425752624	8.809994142252363e-5
DLGAP5	3.361930061556948	8.909999452111243e-5
C1QC	5.692601523564031	9.023712206508414e-5
PRDX3	1.8759257661801068	1.0350938613178468e-4
VSIG4	6.6352798436952485	1.0402342044441244e-4
NT5DC2	2.9819507784546615	1.0470469171955692e-4
CACNG6	-4.947829530395028	1.0588923059957892e-4
RAB13	2.820551892082401	1.106329923259215e-4
CTSB	1.8856012041273056	1.133976867333175e-4
CREG1	1.9004622084564649	1.2261381107655508e-4
SLC1A3	5.840008101676027	1.2660061771673512e-4
IGKV3D-20	5.36500068543364	1.2685462566312816e-4
SIGLEC16	2.9895723159983683	1.2778542455161104e-4
SYTL2	-2.163130159135258	1.2875987935856236e-4
MGST1	3.353696444999892	1.3952394311386116e-4
CDC25A	3.9265692276727706	1.5256490437983878e-4
PDZD4	-2.3288050038460617	1.5800334782218583e-4
BCAT1	3.4219659749000337	1.6618033069475046e-4
CEP78	-1.7117573750528468	1.6684805722913087e-4
ECHDC3	3.433197129710745	1.7073925092289373e-4
MAOA	7.996773640652877	1.805027205637156e-4
IGLV7-46	3.99830397960315	1.906049071263212e-4
TSPYL1	-1.3170388602975849	2.0068632912411508e-4
CAV1	3.7624875369635657	2.024058078110681e-4
CPA3	-5.00817364543947	2.2054494264220524e-4
RAB20	2.588321302375479	2.214124492420746e-4
LYPD2	-6.983210305833739	2.241169561370794e-4
MRC1	5.8169778581590474	2.2644241569053436e-4
CROCC2	-5.662389889716642	2.2820194557950476e-4
CDCA5	3.2398120164660704	2.393376351024367e-4
TCN2	3.675772213178401	2.3943422184552409e-4
KRT5	-3.1792753823146183	2.4116005244477056e-4
MT1E	2.3770686540933914	2.5131436275813764e-4
ZMAT4	-3.275324571733613	2.5181934971572407e-4
PPARGC1B	1.5222808225872575	2.53474444982136e-4
MILR1	2.010459959283581	2.5421614467358874e-4
SIGLEC8	-6.394029742057902	2.565219559335135e-4
NUAK1	-4.748749664980738	2.708676864109858e-4
CACNA2D2	-2.127760702566428	2.8761991117865583e-4
BUB1	2.6732270344609024	2.9336084834274224e-4
VDAC1	1.1677242445587068	2.9455518190126e-4
POLQ	2.121544953239286	2.9890626251747465e-4
SCARB2	1.6957775172367584	3.0504118018164704e-4
TMTC1	3.1525455507718245	3.055742224817288e-4
KLRB1	-2.3192532935721397	3.117401216991296e-4
PLD3	1.5672080895555474	3.118803245417509e-4
MRPL51	1.1522035706035318	3.126415277296512e-4
VSTM2B	-3.730869544050052	3.141506668379505e-4
HJURP	2.504449217663681	3.225630826743202e-4
CDC20	3.3998089934912863	3.2358931658536263e-4
ASPM	3.0155961044908417	3.4041933699700827e-4
MYBL1	-2.467465387011199	3.4198756234660757e-4
MIR3609	-6.826185769467805	3.4301486611688675e-4
LINC00869	-1.9751381140496156	3.4990189025516604e-4
KIF14	2.5118766484490176	3.5238662815675637e-4
ZNF266	-1.8340008354977029	3.653579777875711e-4
TOP2A	2.4853806170768977	3.6972440175616586e-4
BIRC5	3.4410150061813276	3.7491593582447225e-4
MYO6	-1.5209536796937049	3.8540742300860063e-4
ERLIN1	1.8772929716776616	3.932937309576779e-4
C1orf21	-1.812944502726195	3.943451159388147e-4
A2M-AS1	-3.1375033872417593	4.009416028332509e-4
C1QB	4.806693959641893	4.058855027330703e-4
KIF4A	3.071676457215627	4.187885884462e-4
MIR181A2HG	-3.2748154111443895	4.2457834759384065e-4
PLPP3	3.940317165354664	4.2564826748300687e-4
RHOXF1P1	-4.9662335441458385	4.2693855263991096e-4
GLI3	-4.501685535544162	4.282006244095839e-4
CXCL8	-4.381873464086377	4.2980229531753113e-4
ITGB8	-3.8928311838886898	4.316566013306167e-4
LAMC1	2.728588744172935	4.324739865109815e-4
YWHAG	1.6250764568184013	4.357683974356263e-4
FCRL6	-1.8489604856181772	4.52160520261417e-4
TRIP13	2.729686696120765	4.54326526392782e-4
MYO1E	1.6989391073032032	4.565137357263164e-4
UACA	2.6314414031079822	4.577110288062736e-4
CLEC12B	2.8272116192036503	4.577511939386598e-4
LINC01765	-4.270077814830531	4.643439423556808e-4
CDC6	2.2447250899249664	4.6909394532207487e-4
BTG1P1	-2.705094416228484	4.726280777925675e-4
PRSS23	-2.279878716568559	4.744661645960349e-4
KIF18B	3.0559937491514964	4.748002558545252e-4
NLN	1.9624836441340043	4.897173313011915e-4
LINC-PINT	-1.6069876710212907	5.135022677955585e-4
GAPDH	1.770198427410771	5.19023597758531e-4
IFI27	9.94643265955313	5.244614287132128e-4
IGHV3-33	4.649063731068094	5.293452165728614e-4
EPS8	2.2343950202795675	5.346520519188627e-4
KIAA0930	1.5359825888698404	5.399531840530376e-4
HRH4	-4.121325293263285	5.517993620543761e-4
PBXIP1	-1.3894914624325234	5.692334809310502e-4
C1orf87	-5.04595574411248	5.716913667151613e-4
ARL4C	-1.638483306530017	5.733802367792514e-4
SDC1	5.744114800386901	5.741472952159561e-4
TK1	1.7221908274541464	5.773339872046163e-4
IGKV1-16	3.504239186273728	5.866599471627828e-4
CBR1	1.3986066892190123	5.875240289874956e-4
IGKV2D-30	3.3332558629437727	5.900880362020164e-4
MMP19	4.131110054603677	5.908889979883814e-4
KLRG1	-2.3137072799258767	5.957223318557912e-4
DOCK1	2.901024616477581	5.965592312642162e-4
IGHG1	5.786943922854717	6.069345783638189e-4
E2F8	3.3051260679414156	6.073421339730392e-4
C3orf22	4.698718480341936	6.180628282935463e-4
CHST13	2.6194995275360755	6.196742956101492e-4
TRDC	-1.8754430643515911	6.256217026283429e-4
UAP1L1	1.567029016421279	6.265879466145116e-4
POMP	1.1489479185444924	6.298656562731157e-4
SH3PXD2B	4.2207736465182215	6.356129827406277e-4
PZP	-2.5364362758066448	6.428216298544732e-4
OAS1	2.3718891179492223	6.639491002132296e-4
MKI67	3.1381799795856677	6.651132585451435e-4
SRGAP2B	2.226043067729206	6.652596535672472e-4
SLC1A7	-3.5356148302886368	6.708098525533313e-4
METTL9	1.9312222287640697	6.761318879093462e-4
TROAP	2.8032038998202453	6.846471080052973e-4
GSTA1	-4.9798482512855005	6.859279522118933e-4
NBPF13P	-2.809701841775397	6.913420441517345e-4
FUCA2	1.551217862098243	6.919612119140421e-4
GRB10	3.5866392426564397	6.942820309330914e-4
PLEKHA1	-1.1971432592354616	6.976132904749229e-4
RPS6KA5	-1.451289762417507	7.02982540989548e-4
NET1	1.6010331068477883	7.072550445494437e-4
RAI14	-3.155196755090492	7.084547386344572e-4
SHCBP1	2.3320181672784877	7.092788090107896e-4
TGFBR3	-2.216749234431813	7.178498748375406e-4
ELOVL3	3.1984820452197065	7.280467389521269e-4
TACSTD2	-2.2495184254845215	7.353101812189672e-4
MS4A4A	3.915673771223818	7.369445294667106e-4
FGF14	-5.141953968544812	7.382232473079834e-4
CDKN1C	-4.6461716119443635	7.409393957898616e-4
GSTO1	1.416410223083922	7.417831719759269e-4
VDAC2P2	-2.7951105251502737	7.61143597890279e-4
B3GAT1	-2.03135961734247	7.735437626587619e-4
AREG	4.178448990550692	7.80853459374076e-4
IL7R	-1.5002601354390557	7.825862763007666e-4
C1orf43	1.105672301597303	7.881506204334636e-4
PAPSS1	1.227495850832724	7.889481419983631e-4
GLDN	7.160673496776954	7.943652241362308e-4
TYMS	2.393911930482777	7.984322770325991e-4
LHFPL2	2.7519472296745753	8.11947894041774e-4
CCNB2	2.650282959394989	8.134528950699612e-4
AKAP12	-4.403444946401128	8.143794253297291e-4
P2RX4	1.0374396786730216	8.159193644203691e-4
CERS6	1.1700594668292643	8.16920339677814e-4
RPL23AP23	-2.964492866002197	8.199471171707027e-4
NUSAP1	2.119629831309815	8.269933995507539e-4
ALCAM	2.050718685991423	8.453448572084967e-4
IGKV1-5	2.391526894998101	8.518233019589123e-4
PTPRO	1.549677345994596	8.529293183718982e-4
TRIM71	5.465688468450728	8.596105045767592e-4
RAB11FIP5	-1.6003299010600909	8.618937552562832e-4
PTCH1	-1.5452120368312228	8.68207837610729e-4
KIR2DL1	-3.1359979145970738	8.686106246950123e-4
SYTL5	-5.373293852832816	8.710434176303554e-4
FHAD1	-1.909676046834712	8.75865200503317e-4
PRSS33	-5.823032765080468	8.833233687896417e-4
FRRS1	2.114068525663195	8.981514442408546e-4
PPARG	5.257084564630926	8.9874088301237e-4
TBC1D2	2.072788609811847	8.999357063094317e-4
OCRL	1.2646131474341715	9.145834618455288e-4
SCIMP	1.587792896442481	9.189895579079908e-4
GNPDA1	1.3042200536122075	9.39000171270495e-4
OLFML2A	4.7868644165504	9.45478903398506e-4
CYBRD1	1.4376349740557002	9.498139913627354e-4
CHRFAM7A	2.6824862336310735	9.604047657845302e-4
GSC	-4.672683450802574	9.62619959922526e-4
TSPEAR-AS2	-2.845672282678315	9.682563728263812e-4
LAMA2	-1.9489499896681852	9.825619766496887e-4
FGD2	1.883050296816788	9.933256084482033e-4
LINC02345	-3.62082256556928	9.945084008422635e-4
SIGLEC17P	-2.857300753962375	9.98657537398843e-4
HSD17B4	1.3777834955343804	0.00100108048100766
CLTA	1.140030791137714	0.00100265031946738
IKZF2	-2.005654863116903	0.00101049722281981
ANXA2	1.817634339104012	0.00102284547300181
ARHGAP15-AS1	-2.8819543537568855	0.00102332642648134
SEMA4C	-1.8040633195264384	0.00102401121474458
NRXN2	-3.339076620704289	0.001028618885533
CA8	-3.241574326112215	0.00103102413175479
ACVR1B	1.52677403448985	0.00103415950066103
EPHX4	-3.7574699102150535	0.00105874315952347
PBK	4.01481987811035	0.00106834657236615
TNFSF10	1.078833603182385	0.00106859531223285
MGAT1	1.0811906974593777	0.00107539810370224
ENO1	1.402452777376502	0.00107564791291484
SORBS2	-2.876370485156763	0.00109645318989415
LMO2	1.9556231225233287	0.00109892300199282
IGLV4-69	3.720745502698007	0.00110349646049633
PRSS57	-2.3681905791148665	0.00110563050833714
MTCH2	1.069829842611136	0.00110684302287236
NKIRAS2	1.2595102589935732	0.00110752617955616
SOX13	-2.099338295015585	0.00111944417420167
MS4A2	-5.505541931488042	0.00112502214580635
CKS2	1.514412157259356	0.00112781619816852
STAC3	1.8788343301785084	0.00113872131629308
MRPL37	1.1456366032023888	0.00113936864635745
RASGEF1B	1.76766244573306	0.00114137570263907
FZD5	2.4838244647702896	0.00114346582731556
KCTD3	1.5603571307249795	0.00115673871860122
LINC00612	-3.199703227902646	0.00115899126970326
HDLBP	1.1974084485346117	0.00116074720955947
